"Subj","ROI","Cond","Beta"
"sub-184188","R_HEADDGCA23_NA","CloseRepeat",0.149
"sub-184188","L_HEADSUB_NA","CloseRepeat",-0.1993
"sub-184188","R_HEADSUB_NA","CloseRepeat",0.1139
"sub-184188","L_SUB_NA","CloseRepeat",-0.07643
"sub-184188","R_SUB_NA","CloseRepeat",0.0213
"sub-184188","L_CA12_NA","DistantRepeat",0.02147
"sub-184188","R_CA12_NA","DistantRepeat",0.02386
"sub-184188","L_DGCA3_NA","DistantRepeat",0.08544
"sub-184188","R_DGCA3_NA","DistantRepeat",0.3797
"sub-184188","L_HEADCA1_NA","DistantRepeat",0.1086
"sub-184188","R_HEADCA1_NA","DistantRepeat",0.0136
"sub-184188","L_HEADDGCA23_NA","DistantRepeat",0.14
"sub-184188","R_HEADDGCA23_NA","DistantRepeat",0.2408
"sub-184188","L_HEADSUB_NA","DistantRepeat",-0.0587
"sub-184188","R_HEADSUB_NA","DistantRepeat",0.1513
"sub-184188","L_SUB_NA","DistantRepeat",-0.009176
"sub-184188","R_SUB_NA","DistantRepeat",0.3156
"sub-184188","L_CA12_NA","ExactRepeat",0.006156
"sub-184188","R_CA12_NA","ExactRepeat",0.0684
"sub-184188","L_DGCA3_NA","ExactRepeat",0.000511
"sub-184188","R_DGCA3_NA","ExactRepeat",0.2366
"sub-184188","L_HEADCA1_NA","ExactRepeat",0.03471
"sub-184188","R_HEADCA1_NA","ExactRepeat",-0.06906
"sub-184188","L_HEADDGCA23_NA","ExactRepeat",-0.03736
"sub-184188","R_HEADDGCA23_NA","ExactRepeat",0.06201
"sub-184188","L_HEADSUB_NA","ExactRepeat",-0.1983
"sub-184188","R_HEADSUB_NA","ExactRepeat",0.09932
"sub-184188","L_SUB_NA","ExactRepeat",0.01983
"sub-184188","R_SUB_NA","ExactRepeat",0.02129
"sub-193800","L_CA12_NA","AllFirst",0.07901
"sub-193800","R_CA12_NA","AllFirst",0.0262
"sub-193800","L_DGCA3_NA","AllFirst",0.1766
"sub-193800","R_DGCA3_NA","AllFirst",0.1372
"sub-193800","L_HEADCA1_NA","AllFirst",0.118
"sub-193800","R_HEADCA1_NA","AllFirst",0.06375
"sub-193800","L_HEADDGCA23_NA","AllFirst",0.134
"sub-193800","R_HEADDGCA23_NA","AllFirst",0.1478
"sub-193800","L_HEADSUB_NA","AllFirst",0.1744
